Whale ID,Mother ID,Father ID
3712,2912,1017
3714,2614,1037
3720,1620,
3725,1425,1037
3730,2430,
3740,2601,
3742,2642,
3745,2645,1716
3746,2746,
3750,1705,1940
3760,2360,1150
3770,1242,
3780,,
3790,1814,
3791,3360,1332
3792,1710,
3793,,
3794,1810,
3801,1301,
3802,1802,2201
3803,1703,
3808,1408,1920
3810,3130,
3812,1812,1249
3815,3115,
3820,3020,
3821,1321,
3822,1622,
3823,1123,
3830,2330,1270
3832,1632,1156
3840,,
3843,1243,
3845,1245,2530
3850,1208,1326
3853,2753,1981
3860,2040,1113
3880,3180,
3890,2790,1818
3892,3292,
3893,3293,1207
3901,3101,1419
3903,1503,2048
3904,1204,1050
3908,1608,
3910,2660,
3911,2611,1032
3912,1012,
3915,1515,1980
3917,3317,1328
3920,3108,
3923,2123,
3930,1240,2018
3934,1334,
3940,3440,
3942,1142,
3945,2145,
3946,1246,
3950,1611,
3951,1151,1820
3960,1303,2510
3966,1266,
3970,3320,
3980,2503,1174
3981,1281,
3988,1817,
3989,1315,
3990,3290,
3991,2791,1150
3992,1946,
3993,2320,
3994,1612,
3995,,
3996,1711,1980
3997,3370,
3998,2223,
3999,2520,
4001,1701,1803
4005,2605,
4010,2710,
4014,2614,
4020,1620,
4023,3123,
4030,2430,
4040,1308,
4041,1241,
4042,3142,
4045,2645,
4050,1950,1960
4057,3157,
4060,2360,
4070,2460,2440
4080,3180,2479
4090,3360,
4091,2642,
4092,,
4093,,
4094,1145,
4095,,
4096,3260,
4102,1802,
4110,3010,
4111,1911,1156
4115,3115,
4120,2420,
4123,1123,
4129,2029,
4130,3430,
4140,2040,1133
4143,1243,
4145,1245,1715
4146,2746,1227
4150,,
